left=6000000047
right=6000000049
Ekey =48002149, Dkey =-1
Ekey =48002153, Dkey =-1
Ekey =48002155, Dkey =-1
Ekey =48002159, Dkey =-1
Ekey =48002161, Dkey =-1
Ekey =48002165, Dkey =-1
Ekey =48002167, Dkey =-1
Ekey =48002173, Dkey =-1
Ekey =48002177, Dkey =-1
Ekey =48002179, Dkey =-1
Ekey =48002189, Dkey =-1
Ekey =48002191, Dkey =-1
Ekey =48002195, Dkey =-1
Ekey =48002197, Dkey =-1
Ekey =48002201, Dkey =-1
Ekey =48002203, Dkey =-1
Ekey =48002207, Dkey =-1
Ekey =48002209, Dkey =-1
Ekey =48002215, Dkey =-1
Ekey =48002219, Dkey =-1
Ekey =48002221, Dkey =-1
Ekey =48002225, Dkey =-1
Ekey =48002231, Dkey =-1
Ekey =48002233, Dkey =-1
Ekey =48002237, Dkey =-1
Ekey =48002239, Dkey =-1
Ekey =48002243, Dkey =-1
Ekey =48002245, Dkey =-1
Ekey =48002249, Dkey =-1
Ekey =48002251, Dkey =-1
Ekey =48002257, Dkey =-1
Ekey =48002261, Dkey =-1
Ekey =48002263, Dkey =-1
Ekey =48002267, Dkey =-1
Ekey =48002273, Dkey =-1
Ekey =48002275, Dkey =-1
Ekey =48002279, Dkey =-1
Ekey =48002281, Dkey =-1
Ekey =48002285, Dkey =-1
Ekey =48002287, Dkey =-1
Ekey =48002291, Dkey =-1
Ekey =48002293, Dkey =-1
Ekey =48002299, Dkey =-1
Ekey =48002303, Dkey =-1
Ekey =48002305, Dkey =-1
Ekey =48002309, Dkey =-1
Ekey =48002315, Dkey =-1
Ekey =48002317, Dkey =-1
Ekey =48002321, Dkey =-1
Ekey =48002323, Dkey =-1
Ekey =48002327, Dkey =-1
Ekey =48002329, Dkey =-1
Ekey =48002333, Dkey =-1
Ekey =48002335, Dkey =-1
Ekey =48002341, Dkey =-1
Ekey =48002345, Dkey =-1
Ekey =48002347, Dkey =-1
Ekey =48002351, Dkey =-1
Ekey =48002357, Dkey =-1
Ekey =48002359, Dkey =-1
Ekey =48002363, Dkey =-1
Ekey =48002365, Dkey =-1
Ekey =48002369, Dkey =-1
Ekey =48002371, Dkey =-1
Ekey =48002375, Dkey =-1
Ekey =48002377, Dkey =-1
Ekey =48002383, Dkey =-1
Ekey =48002387, Dkey =-1
Ekey =48002389, Dkey =-1
Ekey =48002393, Dkey =-1
Ekey =48002399, Dkey =-1
